# BEAST v1.9.0pre20160930 Prerelease https://github.com/beast-dev/beast-mcmc/commit/f5e0bdd
# Generated Sun Mar 19 23:01:48 GMT 2017 [seed=29521]
# -seed 29521 -overwrite -beagle -beagle_CPU -beagle_SSE -beagle_opencl -beagle_double -beagle_scaling dynamic -beagle_async -beagle_instances 4 ZIKV.ZiBRA_no3Rio-Pardis_noFlorida-4_Mexico_Chiu.allGenBank.Strict-Skyline.1500.completehistory_asymRegion.sub8.n10.xml
state	totalChangeCount	completeHistory_1
0	25.0	{{1,0.6236007094885226,Brazil_Southeast,Brazil_North},{1,1.0589159000397332,Caribbean,Brazil_North},{1,1.158167532221763,Brazil_Southeast,Brazil_North},{1,1.1066234746568686,Brazil_Northeast,Brazil_North},{1,0.6704628095390447,Caribbean,Brazil_Northeast},{1,1.653040777405093,Brazil_Southeast,Brazil_Northeast},{1,1.300510471372759,Brazil_Northeast,Brazil_Southeast},{1,1.2733920479688416,SouthAmerica,Caribbean},{1,14.47477333973127,SouthEastAsia,Micronesia},{1,0.9989347717420332,Caribbean,SouthAmerica},{1,0.2772656726743241,Brazil_Southeast,SouthAmerica},{1,1.0649433087329572,Brazil_Southeast,SouthAmerica},{1,2.4612658838457313,Brazil_Southeast,Brazil_Northeast},{1,0.759317946669401,Brazil_Southeast,Brazil_North},{1,1.7657853988724126,Brazil_Southeast,Brazil_North},{1,1.5925103973561725,Caribbean,SouthAmerica},{1,1.903417542068869,Brazil_Southeast,Caribbean},{1,1.8225499293186147,Brazil_Southeast,CentralAmerica},{1,1.2324111481796531,Brazil_Southeast,Caribbean},{1,1.8739407298253745,Brazil_Southeast,Caribbean},{1,1.0595013266043452,SouthAmerica,CentralAmerica},{1,1.6029065211331122,Brazil_Northeast,SouthAmerica},{1,2.2267770094196835,Brazil_Southeast,Brazil_Northeast},{1,2.7411216934977913,Polynesia,Brazil_Southeast},{1,3.497477249574811,SouthEastAsia,Polynesia}} 25
5000	29.0	{{1,0.28803937771284877,Brazil_Southeast,Brazil_North},{1,0.9874225529576766,SouthAmerica,Brazil_North},{1,2.0137964684749616,Brazil_Southeast,Brazil_North},{1,0.744110792334498,Brazil_Northeast,Brazil_North},{1,0.7362735004030188,Caribbean,Brazil_Northeast},{1,1.717964291089763,Brazil_Southeast,Brazil_Northeast},{1,0.5432402931204852,Brazil_Northeast,Brazil_Southeast},{1,0.44868869253478727,SouthAmerica,Caribbean},{1,1.1114160189535518,SouthAmerica,Caribbean},{1,1.1426266738213238,SouthAmerica,Caribbean},{1,10.083494038245298,SouthEastAsia,Micronesia},{1,0.994275635651412,Caribbean,Brazil_Northeast},{1,0.7909032037581627,Brazil_Northeast,SouthAmerica},{1,1.7906979540143138,Brazil_Southeast,SouthAmerica},{1,2.550287800134057,Brazil_Southeast,Brazil_Northeast},{1,1.3044307384066292,Brazil_Southeast,Caribbean},{1,0.8686451918847587,Brazil_Southeast,Brazil_North},{1,2.2522435123524853,Brazil_Southeast,Caribbean},{1,1.7815707147919961,Brazil_Southeast,Brazil_Northeast},{1,1.0349192240739806,SouthAmerica,CentralAmerica},{1,1.4445185322240006,Brazil_Southeast,SouthAmerica},{1,1.8047731295668639,Brazil_Southeast,Caribbean},{1,1.2766660688282263,Caribbean,Brazil_Northeast},{1,1.6887331685062061,Brazil_Southeast,Brazil_Northeast},{1,1.8100746196520172,Brazil_Southeast,Brazil_North},{1,1.844192168787371,Brazil_Southeast,SouthAmerica},{1,1.8551686894267165,Brazil_Southeast,CentralAmerica},{1,2.759832385241272,Polynesia,Brazil_Southeast},{1,5.26490125576404,SouthEastAsia,Polynesia}} 29
10000	30.0	{{1,0.39052654253727775,Brazil_Southeast,Brazil_North},{1,1.4735567392003461,Brazil_Southeast,Brazil_North},{1,0.7193062262375507,Brazil_Southeast,Brazil_North},{1,0.5756767770232915,Brazil_Northeast,Brazil_North},{1,0.7610567787045303,Caribbean,Brazil_Northeast},{1,0.5323661117410794,Brazil_Northeast,Brazil_Southeast},{1,0.4554094833610558,Brazil_Southeast,Caribbean},{1,0.6123105938503651,SouthAmerica,Caribbean},{1,0.765840256801285,Brazil_Southeast,Caribbean},{1,11.850475443555778,SouthEastAsia,Brazil_North},{1,9.46461442623262,Brazil_North,SouthAmerica},{1,9.380120480279995,SouthAmerica,Caribbean},{1,9.077315847621081,Caribbean,Micronesia},{1,0.7527603231446521,Caribbean,Brazil_Southeast},{1,0.6045372530001564,Brazil_Southeast,SouthAmerica},{1,1.4160093583958837,Brazil_Northeast,SouthAmerica},{1,1.0160770633146048,Brazil_Southeast,SouthAmerica},{1,1.4616963655296817,Brazil_Southeast,Caribbean},{1,1.8782098149441075,Brazil_Northeast,Brazil_Southeast},{1,0.8434996043405909,SouthAmerica,CentralAmerica},{1,1.8027066350057106,Brazil_Northeast,SouthAmerica},{1,1.5827704231040813,Brazil_Southeast,Brazil_North},{1,2.2160826247608623,Brazil_Southeast,Caribbean},{1,2.3655302314340916,Brazil_Northeast,Brazil_Southeast},{1,1.6182339939647061,Brazil_Southeast,CentralAmerica},{1,1.2758314851610237,Brazil_Southeast,SouthAmerica},{1,2.067192987743964,Brazil_Southeast,Brazil_North},{1,2.3378393545339304,Brazil_Northeast,Brazil_Southeast},{1,2.692924245854339,Polynesia,Brazil_Northeast},{1,6.938121941826005,SouthEastAsia,Polynesia}} 30
15000	33.0	{{1,0.14289666236734083,Brazil_Southeast,Brazil_North},{1,1.35966900127709,Caribbean,Brazil_North},{1,1.7063241590616003,Brazil_Southeast,Brazil_North},{1,0.6980736388453596,Brazil_Northeast,Brazil_North},{1,1.141469570355321,Caribbean,Brazil_Northeast},{1,1.7207343597149036,Brazil_Northeast,Brazil_Southeast},{1,0.4525057746559362,SouthAmerica,Caribbean},{1,0.6741482456679628,Caribbean,SouthAmerica},{1,1.5531182836496573,Brazil_Southeast,SouthAmerica},{1,1.2029489870311265,Caribbean,SouthAmerica},{1,9.120080651440755,Micronesia,Brazil_North},{1,8.016437058721106,Brazil_North,SouthEastAsia},{1,6.808218787325259,Micronesia,Brazil_North},{1,5.58327000688343,Brazil_North,SouthEastAsia},{1,3.4016161214770833,Polynesia,SouthEastAsia},{1,2.1220569215702505,Brazil_Southeast,Brazil_Northeast},{1,2.021434616386423,Brazil_Southeast,Brazil_North},{1,1.4863704157589248,Caribbean,SouthAmerica},{1,1.8840037456997998,Brazil_Southeast,Caribbean},{1,1.6771656375032478,Brazil_Southeast,Caribbean},{1,1.5976157604473349,Caribbean,CentralAmerica},{1,0.9811337738312755,SouthAmerica,CentralAmerica},{1,1.6836125971427818,Brazil_Northeast,Polynesia},{1,1.4373416906837104,Polynesia,SouthAmerica},{1,1.861949864066155,Brazil_Southeast,Brazil_Northeast},{1,0.6863201101080303,Brazil_Southeast,Brazil_North},{1,1.1892426557889688,Brazil_Southeast,Caribbean},{1,2.4294664331772227,Polynesia,Brazil_Southeast},{1,2.402352476517287,Polynesia,Caribbean},{1,10.200618917664956,Micronesia,Caribbean},{1,8.994267188969076,Caribbean,SouthAmerica},{1,7.66403586647329,SouthAmerica,Brazil_Southeast},{1,6.558267710982859,Brazil_Southeast,Polynesia}} 33
20000	27.0	{{1,0.31961932478656063,Brazil_Southeast,Brazil_North},{1,1.1146571505076592,Brazil_Southeast,Brazil_North},{1,0.7993957439538768,Brazil_Southeast,Brazil_North},{1,0.6357132116212326,Brazil_Northeast,Brazil_North},{1,0.7828965041068714,Caribbean,Polynesia},{1,0.5747115349116851,Polynesia,Brazil_Northeast},{1,0.5594382465427354,Brazil_Northeast,Brazil_Southeast},{1,1.6406026584073072,Brazil_Southeast,Caribbean},{1,1.173343868399055,SouthAmerica,Caribbean},{1,1.4330230270071278,Brazil_Southeast,Caribbean},{1,10.553814584652079,SouthEastAsia,Micronesia},{1,1.1687916237141434,Caribbean,SouthAmerica},{1,0.5348036253287365,Brazil_Southeast,SouthAmerica},{1,1.1393341147394085,Brazil_Southeast,SouthAmerica},{1,1.5419689485544217,Brazil_Southeast,CentralAmerica},{1,1.8335751848070694,Brazil_Southeast,Brazil_North},{1,1.5859838918179532,Brazil_Southeast,SouthAmerica},{1,2.085256434436354,Brazil_Southeast,Brazil_Northeast},{1,1.134918825096312,SouthAmerica,CentralAmerica},{1,1.5975469434315352,Brazil_Northeast,SouthAmerica},{1,2.3097851272613616,Brazil_Southeast,Brazil_Northeast},{1,0.8432458699267372,Brazil_Southeast,Brazil_North},{1,2.1347962635141458,Brazil_Southeast,Caribbean},{1,1.347141934880053,Brazil_Southeast,Caribbean},{1,2.689699527384439,Polynesia,Brazil_Southeast},{1,5.870904894391814,SouthEastAsia,Micronesia},{1,4.429084622059915,Micronesia,Polynesia}} 27
25000	29.0	{{1,0.23435406411616103,Brazil_Southeast,Brazil_North},{1,1.2836547803371126,Brazil_Southeast,Brazil_North},{1,1.8907201731793981,Brazil_Northeast,Brazil_North},{1,1.0908347115986847,Brazil_Northeast,Brazil_North},{1,0.6676827746577982,Caribbean,Brazil_Northeast},{1,0.8508971678054087,Brazil_Northeast,Brazil_Southeast},{1,0.7556029475563493,Brazil_Northeast,Brazil_Southeast},{1,1.6594460667922601,Brazil_Northeast,Brazil_Southeast},{1,0.8266171143065999,Brazil_Southeast,Caribbean},{1,0.4762718606348748,SouthAmerica,Caribbean},{1,0.333979851341893,Brazil_Southeast,Caribbean},{1,15.236055572391688,SouthEastAsia,Brazil_North},{1,12.623582515361761,Brazil_North,Micronesia},{1,0.9750054373078462,Caribbean,SouthAmerica},{1,0.5245548503264426,Brazil_Northeast,SouthAmerica},{1,1.571305795321944,Brazil_Southeast,SouthAmerica},{1,1.0601591991147237,Brazil_Southeast,SouthAmerica},{1,0.5058018303132323,Brazil_Southeast,SouthAmerica},{1,2.3849052449564723,SouthEastAsia,Caribbean},{1,1.7414808047388188,Brazil_Southeast,CentralAmerica},{1,1.8709303466199718,Brazil_Southeast,Brazil_North},{1,1.006810685481526,Brazil_Southeast,Brazil_North},{1,2.4469965811964975,Brazil_Northeast,Brazil_Southeast},{1,1.4361519150926199,Brazil_Northeast,Caribbean},{1,1.0613856605153573,SouthAmerica,CentralAmerica},{1,1.7590940458525473,Brazil_Northeast,SouthAmerica},{1,2.762517944593015,SouthEastAsia,Brazil_Northeast},{1,2.805438103453446,Polynesia,SouthEastAsia},{1,4.237832593530882,SouthEastAsia,Polynesia}} 29
30000	27.0	{{1,0.1710231636753599,Brazil_Southeast,Brazil_North},{1,1.3357535863946666,Brazil_Southeast,Brazil_North},{1,1.4168088538803876,Brazil_Southeast,Brazil_North},{1,0.7902434690022827,Brazil_Northeast,Brazil_North},{1,0.9650286889204799,Caribbean,Brazil_Northeast},{1,0.2830167969432007,Brazil_Northeast,Brazil_Southeast},{1,1.330790983268825,Brazil_Southeast,Caribbean},{1,0.6942095214153148,SouthAmerica,Caribbean},{1,0.2537250311464163,Brazil_Southeast,Caribbean},{1,14.789834721956419,SouthEastAsia,Micronesia},{1,0.9049246705515079,Caribbean,SouthAmerica},{1,0.780886568997097,Brazil_Southeast,SouthAmerica},{1,0.9604728256928918,Brazil_Southeast,SouthAmerica},{1,5.07044819239273,Micronesia,SouthEastAsia},{1,1.3172635698397352,Brazil_Southeast,Caribbean},{1,0.9796024480155497,SouthAmerica,CentralAmerica},{1,1.574975146690308,Brazil_Northeast,SouthAmerica},{1,2.1892882966374967,Brazil_Southeast,Brazil_Northeast},{1,1.8292818864095166,Brazil_Southeast,Brazil_North},{1,1.3903182286007878,Brazil_Southeast,SouthAmerica},{1,1.579975895094765,Brazil_Southeast,CentralAmerica},{1,0.7187499934142223,Brazil_Southeast,Brazil_North},{1,2.2369134800491093,Brazil_Southeast,Brazil_Northeast},{1,2.1379975529471817,Brazil_Southeast,Caribbean},{1,2.730931929725717,Polynesia,Brazil_Southeast},{1,4.297273225867931,Micronesia,Polynesia},{1,9.74659826262703,SouthEastAsia,Micronesia}} 27
35000	30.0	{{1,0.13263141521710892,Brazil_Southeast,Brazil_North},{1,1.0247608113524422,Brazil_Southeast,Brazil_North},{1,1.324675001765499,Brazil_Northeast,Brazil_North},{1,1.518695106843825,Caribbean,Brazil_Northeast},{1,1.3005295846841567,Brazil_Northeast,Brazil_Southeast},{1,0.5093702166048051,Brazil_Southeast,Caribbean},{1,0.8996546197501794,SouthAmerica,Caribbean},{1,1.580962102070651,Brazil_Southeast,Brazil_Northeast},{1,1.5633680781939103,Brazil_Northeast,Caribbean},{1,14.574574873808492,SouthAmerica,Micronesia},{1,0.69214878421932,Caribbean,SouthAmerica},{1,0.7386851964919257,Brazil_Southeast,SouthAmerica},{1,1.1001971650605513,Brazil_North,SouthAmerica},{1,11.150112221402606,Polynesia,SouthEastAsia},{1,14.979737452483889,SouthAmerica,SouthEastAsia},{1,4.761185817252558,Polynesia,SouthEastAsia},{1,2.0066775209679992,Brazil_Southeast,Caribbean},{1,0.9593965566943179,Brazil_Southeast,Brazil_North},{1,1.2464863073580683,Brazil_Southeast,Caribbean},{1,0.9342173298727273,SouthAmerica,CentralAmerica},{1,1.8453621666407656,Brazil_Northeast,Brazil_Southeast},{1,1.7300806246868348,Brazil_Southeast,SouthAmerica},{1,2.3552130424233524,Brazil_Southeast,Brazil_Northeast},{1,1.5917898862129916,Brazil_Southeast,CentralAmerica},{1,1.6269286051104905,Brazil_Southeast,Brazil_North},{1,1.6046926336518244,Brazil_Southeast,SouthAmerica},{1,1.822194831488446,Brazil_Southeast,Brazil_North},{1,2.4474287941900426,Brazil_Southeast,Brazil_Northeast},{1,2.74662613438264,Polynesia,Brazil_Southeast},{1,13.552373512334789,SouthAmerica,Polynesia}} 30
40000	33.0	{{1,0.3037526903736484,Brazil_Southeast,Brazil_North},{1,0.9904576291491877,Brazil_Southeast,Brazil_North},{1,0.47690951534990744,Brazil_Southeast,Brazil_North},{1,0.7957515902460824,Brazil_Northeast,Micronesia},{1,0.786382219720658,Micronesia,Brazil_North},{1,1.4882356232083127,Caribbean,Brazil_Northeast},{1,0.9841986506193499,Brazil_Southeast,Brazil_Northeast},{1,1.6882614985428364,Brazil_Northeast,Caribbean},{1,1.590633136098359,Caribbean,Brazil_Southeast},{1,0.6593107402754746,Brazil_Southeast,Caribbean},{1,1.0651473630277213,SouthAmerica,Caribbean},{1,1.4520486984220582,Brazil_Southeast,Caribbean},{1,0.8039056001007285,Caribbean,SouthAmerica},{1,0.5811508323715826,Brazil_Southeast,SouthAmerica},{1,1.4461465943673364,Brazil_Southeast,SouthAmerica},{1,10.589219260857693,Micronesia,Caribbean},{1,6.850563694905571,Caribbean,SouthEastAsia},{1,11.132538940735238,Micronesia,SouthEastAsia},{1,4.644956386602141,SouthAmerica,SouthEastAsia},{1,0.6744320935998703,Brazil_Southeast,Brazil_North},{1,1.434321440222806,Brazil_Southeast,CentralAmerica},{1,1.8667747307350444,Brazil_Southeast,Brazil_North},{1,1.2890016994034412,Brazil_Southeast,SouthAmerica},{1,0.9418031835242657,SouthAmerica,CentralAmerica},{1,1.5788375537805888,Brazil_Northeast,SouthAmerica},{1,2.1577465303122407,Brazil_Southeast,Brazil_Northeast},{1,1.3974014372066865,Brazil_Southeast,Caribbean},{1,1.1989296094855662,Brazil_Southeast,Brazil_Northeast},{1,2.2043033107215493,Brazil_Southeast,Caribbean},{1,2.797240289836793,Polynesia,Brazil_Southeast},{1,4.543691179481972,SouthAmerica,Polynesia},{1,7.466934465762016,Micronesia,SouthEastAsia},{1,7.401807032554286,SouthEastAsia,SouthAmerica}} 33
45000	28.0	{{1,0.23945532517916251,Brazil_Southeast,Brazil_North},{1,1.0235404214777266,Brazil_Southeast,Brazil_North},{1,1.08471268950469,Brazil_Southeast,Brazil_North},{1,1.0728595808355386,Brazil_Northeast,Brazil_North},{1,1.2041923939173775,Caribbean,Brazil_Northeast},{1,1.516588799552265,Brazil_Northeast,Brazil_Southeast},{1,0.0668467362215368,Brazil_Southeast,Caribbean},{1,0.48282807542805406,SouthAmerica,Caribbean},{1,0.3475232138102995,Brazil_Southeast,Caribbean},{1,0.6005239158163869,Caribbean,SouthAmerica},{1,1.30254148557421,Brazil_Southeast,SouthAmerica},{1,0.9194461095890254,Brazil_Southeast,SouthAmerica},{1,7.147175596102231,Polynesia,SouthEastAsia},{1,9.982577531111893,Micronesia,SouthEastAsia},{1,4.642698065185533,Polynesia,SouthEastAsia},{1,2.1638140958102,Polynesia,Caribbean},{1,2.1896221666839724,Brazil_Southeast,Brazil_Northeast},{1,0.5398180824494249,Brazil_Southeast,Brazil_North},{1,1.1705926458645985,Brazil_Southeast,Caribbean},{1,0.7648678772158028,SouthAmerica,CentralAmerica},{1,1.5742325827127361,Brazil_Northeast,SouthAmerica},{1,2.1354473860910548,Brazil_Southeast,Brazil_Northeast},{1,1.5622345533376543,Brazil_Southeast,SouthAmerica},{1,1.7716226790802538,Brazil_Southeast,Brazil_North},{1,1.607057065622393,Brazil_Southeast,CentralAmerica},{1,2.5331299975952155,Polynesia,CentralAmerica},{1,2.3015682629132748,CentralAmerica,Brazil_Southeast},{1,15.219724207628726,Micronesia,Polynesia}} 28
