# BEAST v1.8.4
# Generated Thu Apr 27 15:42:10 BST 2017 [seed=1493304129418]
# -overwrite ZIKV.ZiBRA_no3Rio-Pardis_noFlorida-4_Mexico_Chiu.allGenBank.UCLN-Skyline.1500.completehistory_asymRegion.sub1.n10.xml
state	totalChangeCount	completeHistory_1
0	25.0	{{1,1.3702442719523547,SouthAmerica,Brazil_North},{1,1.5201237542957946,Brazil_Northeast,Brazil_North},{1,0.4661649915741496,Brazil_Southeast,Brazil_North},{1,0.7514162526010788,Brazil_Southeast,Brazil_North},{1,0.968416258507513,Brazil_Northeast,Brazil_Southeast},{1,1.1965924314573408,Brazil_Northeast,Brazil_Southeast},{1,1.056387978848208,Brazil_Northeast,Brazil_Southeast},{1,1.9164001681206584,Brazil_Northeast,Brazil_Southeast},{1,1.7895782502267186,Brazil_Northeast,Caribbean},{1,0.848696347309073,SouthAmerica,CentralAmerica},{1,1.1936017516308417,SouthAmerica,CentralAmerica},{1,10.692238980670965,SouthEastAsia,Micronesia},{1,0.5975429621314376,Brazil_Northeast,SouthAmerica},{1,1.2263229096384947,Caribbean,SouthAmerica},{1,1.83454858429342,Brazil_Northeast,Caribbean},{1,2.0543078493855806,SouthAmerica,Brazil_North},{1,0.9636328120561114,SouthAmerica,Brazil_Southeast},{1,0.9465284624421366,SouthAmerica,Caribbean},{1,2.3868555763615475,Brazil_Northeast,SouthAmerica},{1,1.8454874251869409,Brazil_Northeast,CentralAmerica},{1,1.8728744032000444,Brazil_Northeast,SouthAmerica},{1,0.6964256707111224,Brazil_Southeast,Brazil_North},{1,2.2731220776822783,Brazil_Northeast,Brazil_Southeast},{1,2.8158791380962307,Polynesia,Brazil_Northeast},{1,4.989360404599187,SouthEastAsia,Polynesia}} 25
5000	30.0	{{1,1.279371689525091,SouthAmerica,Brazil_North},{1,1.5430698525301891,Brazil_Northeast,Brazil_North},{1,0.9100493167125961,Brazil_Northeast,Brazil_North},{1,1.5660796290790153,Caribbean,Brazil_Northeast},{1,1.4051972420088004,Brazil_Northeast,Brazil_Southeast},{1,0.6061477014807661,Brazil_North,Brazil_Southeast},{1,1.2880694719101258,Brazil_Northeast,Brazil_Southeast},{1,0.6657136435316405,Brazil_Northeast,Brazil_Southeast},{1,1.3500545925331773,Brazil_Northeast,CentralAmerica},{1,0.6562596936855559,CentralAmerica,Brazil_Southeast},{1,0.6683287683873607,Brazil_Northeast,Brazil_Southeast},{1,1.0795427646868152,SouthAmerica,CentralAmerica},{1,0.8790860941266355,SouthAmerica,CentralAmerica},{1,1.1352275671846221,Brazil_Northeast,SouthAmerica},{1,1.0791946637851133,Caribbean,SouthAmerica},{1,11.009658833390294,Micronesia,SouthEastAsia},{1,1.5818630932058135,Brazil_Northeast,Caribbean},{1,1.5889296458940945,Brazil_Northeast,CentralAmerica},{1,1.7828511560330988,SouthAmerica,Brazil_North},{1,1.3027910206371538,SouthAmerica,CentralAmerica},{1,1.173187367027418,CentralAmerica,Caribbean},{1,1.460613223071628,SouthAmerica,Brazil_Southeast},{1,1.9103525611607428,Brazil_Northeast,SouthAmerica},{1,1.4817260678009565,Brazil_Northeast,Brazil_Southeast},{1,1.7671296796731462,Brazil_Northeast,Brazil_North},{1,1.6168760699480413,Brazil_Northeast,SouthAmerica},{1,2.014490875292772,Brazil_Northeast,Caribbean},{1,2.8988804411413325,Polynesia,Brazil_Northeast},{1,3.793698527406361,SouthEastAsia,Polynesia},{1,11.325487909415337,Micronesia,SouthEastAsia}} 30
10000	33.0	{{1,1.444557649544668,SouthAmerica,Brazil_North},{1,1.5963491722647323,Brazil_Northeast,SouthEastAsia},{1,0.6740246766749878,SouthEastAsia,Brazil_North},{1,0.785157470204016,Brazil_Northeast,Brazil_North},{1,1.4947658193066775,Caribbean,Brazil_Northeast},{1,1.121066112655456,Brazil_Northeast,Brazil_Southeast},{1,0.8185178394717039,Brazil_North,Brazil_Southeast},{1,0.9486977099932359,Brazil_Northeast,Brazil_Southeast},{1,0.8553379927903052,Brazil_Northeast,Brazil_Southeast},{1,0.9815869791275745,Brazil_Northeast,Brazil_Southeast},{1,1.1150413892964457,Brazil_Northeast,Brazil_Southeast},{1,0.8826806635725355,SouthAmerica,CentralAmerica},{1,1.0395633583716801,SouthAmerica,CentralAmerica},{1,15.004861897657236,Micronesia,Brazil_Southeast},{1,13.953854345452875,Brazil_Southeast,Micronesia},{1,1.2188885478060323,Brazil_Northeast,SouthAmerica},{1,1.306101846516045,Caribbean,SouthAmerica},{1,10.577415390650916,Micronesia,SouthEastAsia},{1,2.122259813104736,Polynesia,Caribbean},{1,1.3171466719734137,Brazil_Southeast,Brazil_North},{1,1.5202360537720645,Brazil_Southeast,Brazil_North},{1,1.8730386138994994,Brazil_Northeast,Brazil_Southeast},{1,1.7204560036360068,Brazil_Northeast,CentralAmerica},{1,1.2099252828479865,SouthAmerica,Caribbean},{1,1.9542759789268858,Brazil_Northeast,SouthAmerica},{1,1.0154193895780022,Brazil_Northeast,Brazil_Southeast},{1,1.8605036807852566,Brazil_Northeast,Brazil_North},{1,2.0646788387279424,Brazil_Northeast,Brazil_Southeast},{1,1.7596786188549174,Brazil_Northeast,Caribbean},{1,1.5366364484358808,Brazil_Northeast,SouthAmerica},{1,2.668470334703893,Polynesia,Brazil_Northeast},{1,4.2569919175642035,SouthEastAsia,Polynesia},{1,15.908967060437337,Micronesia,SouthEastAsia}} 33
15000	32.0	{{1,1.258353886745876,SouthAmerica,Brazil_North},{1,0.8920100825069371,Brazil_Northeast,Brazil_North},{1,0.6429024143462783,Brazil_Southeast,Brazil_North},{1,0.8375288038300126,Brazil_Northeast,Brazil_North},{1,0.9452924360104235,SouthAmerica,Brazil_Northeast},{1,1.1935615421518415,Brazil_Northeast,Brazil_Southeast},{1,0.5543171114296406,Brazil_Northeast,Brazil_Southeast},{1,0.6648585939999879,Brazil_Northeast,Brazil_Southeast},{1,1.1021548079413017,Brazil_Northeast,Brazil_Southeast},{1,1.6913476170250479,Brazil_Northeast,Brazil_Southeast},{1,1.7815819618958222,Brazil_Northeast,Caribbean},{1,0.9564689932436249,SouthAmerica,CentralAmerica},{1,0.8944251666171599,SouthAmerica,CentralAmerica},{1,12.547378404741613,SouthEastAsia,Brazil_Southeast},{1,10.145185886761677,Brazil_Southeast,Micronesia},{1,1.191099096193191,Brazil_Northeast,SouthAmerica},{1,0.8993082835026753,Caribbean,SouthAmerica},{1,5.5790125884492685,Polynesia,Caribbean},{1,3.85708836739747,Caribbean,SouthEastAsia},{1,1.5319400136758887,Brazil_Southeast,Brazil_North},{1,1.9232523476619994,Brazil_Northeast,Brazil_Southeast},{1,1.6602704969037045,Brazil_Northeast,SouthAmerica},{1,1.4965522166851275,Brazil_Northeast,CentralAmerica},{1,1.822591857157981,Brazil_Northeast,Brazil_North},{1,1.483345199328452,SouthAmerica,Brazil_Southeast},{1,1.456527596253096,SouthAmerica,Brazil_Northeast},{1,1.2523202025394333,Brazil_Northeast,Caribbean},{1,1.8127210575471855,Brazil_Northeast,SouthAmerica},{1,1.3816961457207948,Brazil_Northeast,Caribbean},{1,2.8402009292761075,Polynesia,Brazil_Northeast},{1,12.213350115445568,SouthEastAsia,Caribbean},{1,9.705283657578116,Caribbean,Polynesia}} 32
20000	31.0	{{1,1.4454383683660899,SouthAmerica,Brazil_North},{1,1.287976590096545,Brazil_Northeast,Brazil_North},{1,1.7565793208730336,Brazil_Northeast,Brazil_North},{1,1.0464560747257075,Brazil_Northeast,Brazil_Southeast},{1,1.0045954849131498,Brazil_North,Brazil_Southeast},{1,1.319312826648242,Brazil_Northeast,Brazil_Southeast},{1,1.7661626536877528,Brazil_Northeast,Brazil_Southeast},{1,0.9198621110010373,Brazil_Northeast,Brazil_Southeast},{1,0.8878845887357183,Brazil_Northeast,Brazil_North},{1,0.5816641360435169,Brazil_North,Brazil_Southeast},{1,1.9447568785946778,Brazil_Northeast,Caribbean},{1,1.1963307859349062,SouthAmerica,CentralAmerica},{1,1.0079923309138845,SouthAmerica,CentralAmerica},{1,0.8548582307692707,Brazil_Northeast,SouthAmerica},{1,0.9633034268149956,Caribbean,SouthAmerica},{1,8.947171266223902,Micronesia,SouthEastAsia},{1,6.471066736521351,Micronesia,SouthEastAsia},{1,6.585983859300818,Micronesia,SouthEastAsia},{1,1.9717480364370614,Brazil_Northeast,Brazil_Southeast},{1,1.6381405958415012,Brazil_Northeast,Caribbean},{1,1.7570363588361748,Brazil_Northeast,Brazil_North},{1,1.5010135087590353,Brazil_Northeast,CentralAmerica},{1,1.1749792349104027,Brazil_Northeast,Brazil_North},{1,1.8430741809798619,Brazil_Northeast,Brazil_North},{1,1.0220901619548721,SouthAmerica,Brazil_Northeast},{1,0.5999485349899565,Brazil_Northeast,Brazil_Southeast},{1,1.3052625476135091,SouthAmerica,Caribbean},{1,1.9511093552320298,Brazil_Northeast,SouthAmerica},{1,1.5110838338932981,Brazil_Northeast,SouthAmerica},{1,2.9287572899838477,Polynesia,Brazil_Northeast},{1,4.51094679028021,Micronesia,Polynesia}} 31
25000	33.0	{{1,1.5156129877307487,Brazil_Northeast,Brazil_North},{1,1.2815741953286963,Brazil_Northeast,Brazil_North},{1,0.3875080795459347,Brazil_Northeast,Brazil_North},{1,0.6268794093240764,Brazil_Northeast,Brazil_North},{1,1.6793694904042542,Brazil_Northeast,Brazil_Southeast},{1,0.6421822579714718,Brazil_Northeast,Brazil_Southeast},{1,1.5085735144964967,Brazil_Northeast,Brazil_Southeast},{1,0.8416284763614446,Brazil_Northeast,Brazil_Southeast},{1,0.8716929459600071,Brazil_Northeast,Brazil_Southeast},{1,0.7723521947027403,Brazil_Northeast,Brazil_Southeast},{1,1.8742899718652215,Brazil_Northeast,Caribbean},{1,0.981821698105087,SouthAmerica,CentralAmerica},{1,0.7823160001811061,SouthAmerica,CentralAmerica},{1,13.469534205505248,CentralAmerica,Micronesia},{1,1.6217958217819872,Brazil_Northeast,SouthAmerica},{1,1.2099883031113199,Caribbean,SouthAmerica},{1,1.362971404916252,Brazil_Northeast,SouthAmerica},{1,1.066129984315583,Brazil_Northeast,SouthAmerica},{1,1.439180808611602,Brazil_Northeast,SouthAmerica},{1,2.4485917354702487,Polynesia,SouthEastAsia},{1,1.5131409596055114,Brazil_Northeast,Brazil_North},{1,1.9350329011902754,Brazil_Northeast,SouthAmerica},{1,2.0876201870673916,Brazil_Northeast,Brazil_Southeast},{1,1.9515743119925155,Brazil_Northeast,Brazil_North},{1,1.4904508681929127,Brazil_Northeast,Brazil_Southeast},{1,1.4020679154852687,Brazil_Northeast,Caribbean},{1,2.0598480252329066,Brazil_Northeast,CentralAmerica},{1,1.5365226640646545,Brazil_Northeast,Caribbean},{1,2.7985709239722367,Polynesia,Brazil_Northeast},{1,8.909129354697841,SouthEastAsia,Micronesia},{1,6.914076293823556,Micronesia,Polynesia},{1,16.740574970792036,CentralAmerica,Micronesia},{1,13.547733828747162,Micronesia,SouthEastAsia}} 33
30000	30.0	{{1,1.3446779482441331,SouthAmerica,Brazil_North},{1,1.4367916507521934,Brazil_Northeast,Brazil_North},{1,0.7791243832363601,Brazil_Northeast,Brazil_North},{1,0.8106175912927934,Brazil_Northeast,Brazil_Southeast},{1,0.6348466414105551,Brazil_North,SouthEastAsia},{1,0.4682651152957765,SouthEastAsia,Brazil_Southeast},{1,1.3117952203899474,Brazil_Northeast,Brazil_Southeast},{1,1.6320094743694646,Brazil_Northeast,Brazil_Southeast},{1,1.4630541468733402,Brazil_Northeast,Brazil_Southeast},{1,1.2523505566782358,Brazil_Northeast,Brazil_Southeast},{1,1.8074969339914988,Brazil_Northeast,Caribbean},{1,1.0268740039427773,SouthAmerica,CentralAmerica},{1,0.79796944111888,SouthAmerica,CentralAmerica},{1,1.4754719092369348,Brazil_Northeast,SouthAmerica},{1,0.79633654013977,Caribbean,SouthAmerica},{1,7.6034881368721,Polynesia,SouthEastAsia},{1,2.7162692252154144,Polynesia,SouthEastAsia},{1,10.239720466735731,Micronesia,SouthAmerica},{1,6.680459086380662,SouthAmerica,SouthEastAsia},{1,1.7859668928980994,SouthAmerica,Brazil_Southeast},{1,1.1799621501024227,SouthAmerica,Caribbean},{1,1.9937911440443117,Brazil_North,SouthAmerica},{1,2.497334181470929,Brazil_Northeast,Brazil_North},{1,1.9346138510848712,Brazil_Northeast,Brazil_North},{1,2.0078556046802314,Brazil_Northeast,Brazil_Southeast},{1,1.58272041588745,Brazil_Northeast,CentralAmerica},{1,1.5399823359626723,Brazil_Northeast,SouthAmerica},{1,1.4720487169382865,Brazil_Northeast,Caribbean},{1,3.0382461888013177,Polynesia,Brazil_Northeast},{1,10.337751082123514,Micronesia,Polynesia}} 30
35000	32.0	{{1,1.4670210501070249,SouthAmerica,Brazil_North},{1,1.812893537105194,Brazil_Northeast,Brazil_North},{1,0.4874433155677816,Brazil_Southeast,Brazil_North},{1,1.3329866554855874,Brazil_North,Brazil_Southeast},{1,1.32309797546694,Brazil_Northeast,Brazil_Southeast},{1,1.0914110471257308,Brazil_Northeast,Brazil_Southeast},{1,0.6702851852797149,Brazil_Northeast,Brazil_Southeast},{1,1.7930962971967357,Brazil_Northeast,Caribbean},{1,0.8243326715912219,SouthAmerica,CentralAmerica},{1,0.843336377660729,SouthAmerica,CentralAmerica},{1,9.382865779913885,SouthEastAsia,Micronesia},{1,1.0757230470286139,Brazil_Northeast,SouthAmerica},{1,0.9170077567599328,Caribbean,SouthAmerica},{1,5.400189989332737,SouthEastAsia,SouthAmerica},{1,2.821771716648175,SouthAmerica,SouthEastAsia},{1,15.03835807607688,SouthEastAsia,Brazil_Northeast},{1,9.864522762756895,Brazil_Northeast,Brazil_Southeast},{1,8.35472732923946,Brazil_Southeast,SouthEastAsia},{1,1.7303501634457166,Brazil_Northeast,SouthAmerica},{1,1.534143490253693,Brazil_Southeast,Polynesia},{1,1.5021235890126228,Polynesia,Caribbean},{1,2.0955687377015186,Brazil_Northeast,Brazil_Southeast},{1,1.0489466322138827,SouthAmerica,Caribbean},{1,0.93348991472281,SouthAmerica,Brazil_Southeast},{1,1.9134497137669846,Brazil_Northeast,SouthAmerica},{1,1.8728288586311101,Brazil_Northeast,Brazil_North},{1,1.4734877081860658,Brazil_Northeast,CentralAmerica},{1,1.5428623882026637,Brazil_North,Brazil_Southeast},{1,2.0876442627902048,Brazil_Northeast,Brazil_North},{1,1.0239144964940905,Brazil_Northeast,Brazil_Southeast},{1,3.072966508705243,Polynesia,Brazil_Northeast},{1,6.00557190444193,SouthEastAsia,Polynesia}} 32
40000	27.0	{{1,1.3399437496990951,Brazil_Northeast,Brazil_North},{1,1.2849113491896773,Brazil_Northeast,Brazil_North},{1,1.4948971011046268,Brazil_Northeast,Brazil_Southeast},{1,0.6233968974147623,Brazil_North,Brazil_Southeast},{1,1.3772312652575438,Brazil_Northeast,Brazil_Southeast},{1,1.0087675967110306,Brazil_Northeast,Brazil_Southeast},{1,0.6154293103784245,Brazil_Northeast,Brazil_Southeast},{1,1.576228612931459,Brazil_Northeast,Brazil_Southeast},{1,1.899124224157759,Brazil_Northeast,Caribbean},{1,0.9586048309183441,SouthAmerica,CentralAmerica},{1,1.0292472829349244,SouthAmerica,CentralAmerica},{1,11.417905173254923,SouthEastAsia,Micronesia},{1,1.0398225582697547,Brazil_Northeast,SouthAmerica},{1,1.1803472485848292,Caribbean,SouthAmerica},{1,1.4711171929919231,Brazil_North,SouthAmerica},{1,1.2495325695708852,Brazil_North,SouthAmerica},{1,0.974572607172319,Brazil_North,SouthAmerica},{1,1.550950826132155,Brazil_Northeast,SouthAmerica},{1,2.0202406975187768,Brazil_Northeast,Brazil_North},{1,1.649537831845501,Brazil_Northeast,CentralAmerica},{1,1.4968038645301895,Brazil_North,Brazil_Southeast},{1,1.1601918942289091,Brazil_North,Caribbean},{1,1.9010181792870218,Brazil_Northeast,Brazil_North},{1,1.847351238762855,Brazil_Northeast,Brazil_Southeast},{1,1.4569298280399345,Brazil_Northeast,Caribbean},{1,2.9153512490498357,Polynesia,Brazil_Northeast},{1,3.5110375612756286,SouthEastAsia,Polynesia}} 27
45000	27.0	{{1,1.5494045182197982,SouthAmerica,Brazil_North},{1,1.2178895331449535,Brazil_Northeast,Brazil_North},{1,1.2264939232425283,Brazil_North,Brazil_Southeast},{1,0.8410057315881649,Brazil_North,Brazil_Northeast},{1,0.44296639585081504,Brazil_Northeast,Brazil_Southeast},{1,1.1493849209710612,Brazil_Northeast,Brazil_Southeast},{1,1.1300786972328773,Brazil_Northeast,Brazil_Southeast},{1,1.1486842380182936,Brazil_Northeast,Brazil_Southeast},{1,1.7880938331653686,Brazil_Northeast,Caribbean},{1,1.215280612719325,SouthAmerica,CentralAmerica},{1,1.0767413341085479,SouthAmerica,CentralAmerica},{1,9.869102225575427,SouthEastAsia,Micronesia},{1,1.4308730557057991,Brazil_Northeast,SouthAmerica},{1,0.9529336485028164,Caribbean,SouthAmerica},{1,2.0633891517132885,Brazil_Northeast,Brazil_North},{1,1.8166275219454753,Brazil_Northeast,SouthAmerica},{1,2.174303630248135,Brazil_Northeast,Brazil_Southeast},{1,1.7177349502041035,SouthAmerica,Brazil_North},{1,1.1753016815547968,Brazil_North,Caribbean},{1,1.141516471123011,SouthAmerica,Brazil_Southeast},{1,1.9595207775992836,SouthAmerica,Brazil_North},{1,2.276465585653144,Brazil_Northeast,SouthAmerica},{1,2.0068605076526214,Brazil_Northeast,CentralAmerica},{1,1.8208154329922235,Brazil_Southeast,Caribbean},{1,2.0078151731089986,Brazil_Northeast,Brazil_Southeast},{1,2.866150122925948,Polynesia,Brazil_Northeast},{1,4.59614721167139,SouthEastAsia,Polynesia}} 27
