# BEAST v1.8.4
# Generated Thu Apr 27 11:51:32 BST 2017 [seed=1493290290703]
# ZIKV.ZiBRA_no3Rio-Pardis_noFlorida-4_Mexico_Chiu.allGenBank.UCLN-Skyline.1500.completehistory_asymRegion.sub3.n10.xml
state	totalChangeCount	completeHistory_1
0	25.0	{{1,1.45671596597716,Brazil_North,Brazil_Northeast},{1,0.27546174439763277,Brazil_North,Brazil_Southeast},{1,0.4445013159002981,Brazil_North,Brazil_Southeast},{1,0.7871730324751424,Brazil_North,Brazil_Southeast},{1,1.5084909586520783,Brazil_North,Brazil_Southeast},{1,0.5997721196770506,Brazil_North,Brazil_Southeast},{1,0.7150847543876167,SouthAmerica,Caribbean},{1,1.3691242682144158,Brazil_North,CentralAmerica},{1,0.6802203438224662,SouthAmerica,CentralAmerica},{1,0.6584028468853302,SouthAmerica,CentralAmerica},{1,1.466076476069118,Brazil_North,SouthAmerica},{1,0.6184112354116988,Caribbean,SouthAmerica},{1,0.6311270522774411,Brazil_North,SouthAmerica},{1,11.43733795111048,Micronesia,SouthEastAsia},{1,1.2357529453613763,Caribbean,Brazil_Southeast},{1,1.7081567659152865,Brazil_Northeast,Caribbean},{1,1.6684518675847007,Brazil_North,CentralAmerica},{1,1.1350777122246805,Brazil_North,SouthAmerica},{1,1.4374924807058402,Brazil_North,SouthAmerica},{1,1.2857672234872077,Brazil_North,Brazil_Northeast},{1,1.8119524366637332,Brazil_North,Brazil_Southeast},{1,1.977458815001993,Brazil_Northeast,Brazil_North},{1,2.661210811712298,Polynesia,Brazil_Northeast},{1,4.426335202701946,SouthEastAsia,Polynesia},{1,10.19672278500546,Micronesia,SouthEastAsia}} 25
5000	29.0	{{1,0.36374712654615704,Brazil_Southeast,Brazil_North},{1,0.40423509674113234,Brazil_Northeast,Brazil_North},{1,1.0141874572542582,SouthAmerica,Brazil_North},{1,1.4938335648317798,Brazil_Northeast,SouthAmerica},{1,0.6836193684876198,SouthAmerica,Brazil_North},{1,0.8802620368579712,Brazil_Northeast,Brazil_Southeast},{1,0.8542243279621146,Brazil_Northeast,Brazil_Southeast},{1,1.2015145549605546,SouthAmerica,Brazil_Southeast},{1,0.24573104795354428,SouthAmerica,Caribbean},{1,0.14059315549234885,Brazil_Southeast,Caribbean},{1,0.8069381908697877,SouthAmerica,CentralAmerica},{1,0.6832121677033522,SouthAmerica,Brazil_Southeast},{1,0.6368703891832656,Brazil_Southeast,SouthAmerica},{1,0.5654193206059748,SouthAmerica,CentralAmerica},{1,0.7893986587884879,SouthAmerica,CentralAmerica},{1,12.272795170675693,SouthEastAsia,Micronesia},{1,0.8699220414295691,Caribbean,SouthAmerica},{1,0.9036824753758085,Brazil_Northeast,Brazil_Southeast},{1,0.8602838388466479,Brazil_Northeast,Brazil_North},{1,1.5142051960067198,Brazil_Northeast,Brazil_Southeast},{1,1.607905398719511,SouthAmerica,Brazil_North},{1,1.1750309274046757,SouthAmerica,CentralAmerica},{1,2.0349193202004825,Brazil_Northeast,SouthAmerica},{1,1.1927610242277433,Brazil_Northeast,SouthAmerica},{1,1.1227924248144991,Caribbean,Brazil_Southeast},{1,1.4934280411080336,Brazil_Northeast,Caribbean},{1,2.8971402252517433,Polynesia,SouthEastAsia},{1,2.605736323623505,SouthEastAsia,Brazil_Northeast},{1,5.856949109454463,SouthEastAsia,Polynesia}} 29
10000	27.0	{{1,0.3608998836928864,Brazil_Southeast,Brazil_North},{1,1.6528172560920775,Brazil_Northeast,SouthAmerica},{1,1.0150586151540248,SouthAmerica,Brazil_North},{1,1.4467200129191646,SouthAmerica,Brazil_North},{1,1.3869074084882942,Brazil_Northeast,SouthAmerica},{1,1.017904726168156,SouthAmerica,Brazil_North},{1,0.7068840581973019,Brazil_Northeast,Brazil_Southeast},{1,1.403206906511087,Brazil_Northeast,Brazil_Southeast},{1,0.7359673224608981,SouthAmerica,Brazil_Southeast},{1,0.7767570639839336,SouthAmerica,Caribbean},{1,0.8255449561919268,SouthAmerica,CentralAmerica},{1,0.5779742402249796,SouthAmerica,CentralAmerica},{1,0.7625654187317459,SouthAmerica,CentralAmerica},{1,1.022137562630572,Caribbean,SouthAmerica},{1,1.3615495831746902,Caribbean,Brazil_Southeast},{1,1.826492903138265,Brazil_Northeast,Caribbean},{1,1.7205378030044103,SouthAmerica,CentralAmerica},{1,1.7383814559691357,SouthAmerica,Brazil_North},{1,1.9973680790181827,Brazil_Northeast,SouthAmerica},{1,1.3501858609756106,Brazil_Northeast,SouthAmerica},{1,1.5963939122232156,Brazil_Northeast,Brazil_Southeast},{1,1.0702359539673472,Brazil_North,Brazil_Southeast},{1,1.932776106079359,Brazil_Northeast,Brazil_North},{1,2.734677821492555,Polynesia,Brazil_Northeast},{1,4.47319383974633,SouthEastAsia,Polynesia},{1,14.73915984954234,Micronesia,Brazil_Southeast},{1,14.23434792097736,Brazil_Southeast,SouthEastAsia}} 27
15000	33.0	{{1,0.4930234311109343,Brazil_Southeast,Brazil_North},{1,0.9931209040132549,SouthAmerica,Brazil_North},{1,1.7965082283681435,Brazil_Northeast,Brazil_North},{1,0.7875599213480271,Brazil_Northeast,Brazil_Southeast},{1,1.7686219472952942,Brazil_North,Brazil_Southeast},{1,1.1006041829530573,SouthAmerica,Brazil_Southeast},{1,0.5892599832828036,SouthAmerica,Caribbean},{1,0.560523141509418,SouthAmerica,CentralAmerica},{1,0.822204897323984,SouthAmerica,CentralAmerica},{1,0.8792323460547644,SouthAmerica,CentralAmerica},{1,11.438459492678872,Brazil_Northeast,Micronesia},{1,0.8096459155128499,Caribbean,SouthAmerica},{1,10.789302896794943,Brazil_Northeast,CentralAmerica},{1,8.144827291537723,CentralAmerica,SouthAmerica},{1,7.626058156226819,SouthAmerica,Brazil_Southeast},{1,7.142048627121472,Brazil_Southeast,Brazil_North},{1,6.999867806610889,Brazil_North,SouthEastAsia},{1,1.713639200205445,Brazil_North,SouthAmerica},{1,1.7938430029492956,Brazil_North,CentralAmerica},{1,2.0643653202696663,Brazil_Northeast,Brazil_North},{1,1.5778064096551037,Brazil_Northeast,SouthAmerica},{1,1.8672014127371261,Brazil_Northeast,Brazil_North},{1,1.3050852059717366,Brazil_Northeast,Brazil_Southeast},{1,1.1150447457986696,Caribbean,Brazil_Southeast},{1,1.500887472321977,Brazil_Northeast,Brazil_North},{1,1.42961275690326,Brazil_North,Caribbean},{1,1.383203361695522,Brazil_Southeast,Brazil_North},{1,0.7285961447638705,Brazil_North,Brazil_Southeast},{1,0.6511668851046485,Brazil_Southeast,Brazil_North},{1,1.9383542006316565,Brazil_Northeast,Brazil_Southeast},{1,2.9210474732388128,Polynesia,Brazil_Northeast},{1,3.9745113317015512,SouthEastAsia,Polynesia},{1,10.09913784087129,Brazil_Northeast,SouthEastAsia}} 33
20000	25.0	{{1,0.249724657695496,Brazil_Southeast,Brazil_North},{1,1.1705220934433338,Brazil_Southeast,Brazil_North},{1,1.3005626166158804,SouthAmerica,Brazil_North},{1,1.1826869452194537,Brazil_Southeast,Brazil_North},{1,1.4422247933140255,Brazil_Southeast,Brazil_Northeast},{1,1.3952993203570947,Brazil_Southeast,Brazil_Northeast},{1,1.2145600559728909,Brazil_Southeast,Brazil_Northeast},{1,1.1121180859317945,SouthAmerica,Polynesia},{1,0.6733694446618431,Polynesia,Brazil_Southeast},{1,0.4756765810097673,SouthAmerica,Caribbean},{1,0.45701979844723684,SouthAmerica,CentralAmerica},{1,0.6077821835930481,SouthAmerica,CentralAmerica},{1,1.0445203404763888,SouthAmerica,CentralAmerica},{1,12.440717217601636,SouthEastAsia,Micronesia},{1,0.8749249389022629,Brazil_Southeast,SouthAmerica},{1,1.6433967459537846,Brazil_Southeast,CentralAmerica},{1,1.7524234604160756,SouthAmerica,Brazil_North},{1,2.0562482991383364,Brazil_Southeast,SouthAmerica},{1,1.1521387499438935,Brazil_Southeast,Caribbean},{1,0.9427303618820053,Brazil_Southeast,Brazil_North},{1,1.5793932747511983,Brazil_Southeast,Brazil_Northeast},{1,1.577124259618683,Brazil_Southeast,SouthAmerica},{1,2.4968465882878377,Brazil_Southeast,Brazil_Northeast},{1,2.727559205376842,Polynesia,Brazil_Southeast},{1,3.6110520823884436,SouthEastAsia,Polynesia}} 25
25000	28.0	{{1,0.20520849183205275,Brazil_Southeast,Brazil_North},{1,0.7000217652521517,Brazil_Southeast,Brazil_North},{1,1.1684094697826979,Brazil_Southeast,Brazil_North},{1,1.5736256804895064,Brazil_Southeast,Brazil_North},{1,1.9866905412319096,Brazil_Southeast,Brazil_Northeast},{1,1.9562899556621107,Brazil_Southeast,Brazil_Northeast},{1,1.3596398373016645,Brazil_Southeast,Brazil_Northeast},{1,0.3039273826857284,SouthAmerica,Caribbean},{1,1.0596831635709796,Brazil_Southeast,Caribbean},{1,0.4936874809859898,SouthAmerica,CentralAmerica},{1,0.5617935054089315,SouthAmerica,CentralAmerica},{1,0.8247113178398081,SouthAmerica,CentralAmerica},{1,11.201961422310774,Brazil_Southeast,Micronesia},{1,1.6139802760648843,Brazil_Southeast,SouthAmerica},{1,1.0396874405824563,Caribbean,SouthAmerica},{1,0.7218574560861469,Brazil_Southeast,SouthAmerica},{1,2.1871182864928413,Brazil_Southeast,Brazil_Northeast},{1,1.745801076626199,Brazil_Southeast,SouthAmerica},{1,1.529109604923948,Brazil_Southeast,Brazil_Northeast},{1,1.2606283674424221,Brazil_Southeast,Caribbean},{1,0.4147061986941608,Brazil_Southeast,Brazil_North},{1,1.5711874809835704,Brazil_Southeast,SouthAmerica},{1,1.5926102210477107,Brazil_Southeast,Brazil_North},{1,1.787025497327907,Brazil_Southeast,CentralAmerica},{1,2.806484519627929,Polynesia,Brazil_Southeast},{1,6.570914329857289,SouthEastAsia,Polynesia},{1,15.244643007249193,Brazil_Southeast,Brazil_North},{1,14.446128025388212,Brazil_North,SouthEastAsia}} 28
30000	29.0	{{1,0.38891024185672035,Brazil_Southeast,Brazil_North},{1,1.666558980880615,Brazil_Southeast,Brazil_North},{1,1.2908065725142321,Brazil_North,Brazil_Southeast},{1,1.2372842637725312,Brazil_Southeast,Brazil_North},{1,1.1498373188086908,SouthAmerica,Brazil_North},{1,1.5507755452490866,Brazil_Southeast,Brazil_North},{1,1.4983029193267006,Brazil_Southeast,Brazil_Northeast},{1,0.755536804683686,SouthAmerica,CentralAmerica},{1,0.634762105359274,CentralAmerica,Brazil_Southeast},{1,0.41744335221319195,SouthAmerica,Caribbean},{1,1.1041983934996007,SouthAmerica,CentralAmerica},{1,0.5135002577324642,SouthAmerica,CentralAmerica},{1,0.896943019982498,SouthAmerica,CentralAmerica},{1,14.825925662365032,SouthEastAsia,Brazil_Northeast},{1,13.708894664855567,Brazil_Northeast,Micronesia},{1,0.8438299335700014,Caribbean,Brazil_Northeast},{1,0.560407672443116,Brazil_Northeast,SouthAmerica},{1,1.2515547790953854,Brazil_Southeast,Caribbean},{1,1.4745505296250496,Brazil_Northeast,Brazil_Southeast},{1,1.598572687908847,Caribbean,SouthAmerica},{1,1.394624474283965,Caribbean,Brazil_Northeast},{1,1.608041162279741,Brazil_Southeast,Caribbean},{1,0.719059609674192,Brazil_Southeast,Brazil_North},{1,1.9249909675887622,Brazil_Northeast,Brazil_Southeast},{1,1.7513495022383687,SouthAmerica,Brazil_North},{1,1.8919067754747794,SouthAmerica,CentralAmerica},{1,2.1021837511411134,Brazil_Northeast,SouthAmerica},{1,2.7251764220553474,Polynesia,Brazil_Northeast},{1,3.7811645539581433,SouthEastAsia,Polynesia}} 29
35000	26.0	{{1,0.5262590859438349,Brazil_Southeast,Brazil_North},{1,0.8003607363770902,Brazil_Southeast,Brazil_North},{1,0.8025420736342925,Brazil_Southeast,Brazil_North},{1,1.0116271769555354,Brazil_Southeast,Brazil_North},{1,0.7078212678897395,Brazil_Southeast,Brazil_North},{1,1.6204685892036783,Brazil_Southeast,Brazil_Northeast},{1,1.4368628133547252,Brazil_Southeast,Brazil_Northeast},{1,1.3802787367821368,Brazil_Southeast,Brazil_Northeast},{1,0.7388830937139541,SouthAmerica,Caribbean},{1,1.1611992239756588,SouthAmerica,CentralAmerica},{1,0.6348834054610156,SouthAmerica,CentralAmerica},{1,0.6828609015875848,SouthAmerica,CentralAmerica},{1,9.87461172030952,SouthEastAsia,Micronesia},{1,1.0035598684189204,Brazil_Southeast,SouthAmerica},{1,0.8283671061018524,Caribbean,SouthAmerica},{1,1.3417052074294626,Brazil_Southeast,SouthAmerica},{1,1.2417612922209083,Brazil_Southeast,Caribbean},{1,0.9752531050260379,Brazil_Southeast,Brazil_North},{1,1.4823682190328316,Brazil_Southeast,SouthAmerica},{1,1.2907120799223295,Brazil_Southeast,Brazil_Northeast},{1,1.527663854172422,Brazil_Southeast,Brazil_North},{1,1.349106246391973,Brazil_Southeast,SouthAmerica},{1,1.646353467599941,Brazil_Southeast,CentralAmerica},{1,2.02493365091966,Brazil_Southeast,Brazil_Northeast},{1,2.203523369240707,Polynesia,Brazil_Southeast},{1,3.936818510539673,SouthEastAsia,Polynesia}} 26
40000	27.0	{{1,0.5296850858641119,Brazil_Southeast,Brazil_North},{1,1.3841700855510775,Brazil_Southeast,Brazil_North},{1,1.0001287967005728,Brazil_Southeast,Brazil_North},{1,1.0538938175274042,Brazil_Southeast,Brazil_North},{1,1.4378492589905552,Brazil_Southeast,Brazil_Northeast},{1,1.5211338502632983,Brazil_Southeast,Brazil_Northeast},{1,1.4090240376925736,Brazil_Southeast,Brazil_Northeast},{1,0.5552685322063284,SouthAmerica,Caribbean},{1,1.0265224453586614,Brazil_Southeast,Caribbean},{1,1.293137418835589,SouthAmerica,CentralAmerica},{1,0.5832181965140014,SouthAmerica,CentralAmerica},{1,0.6414463612208827,SouthAmerica,CentralAmerica},{1,1.253073786353913,Brazil_Southeast,SouthAmerica},{1,0.9092425984048047,Caribbean,SouthAmerica},{1,0.6870738856877401,Brazil_Southeast,SouthAmerica},{1,17.024419339998666,Micronesia,SouthEastAsia},{1,1.5080212825159023,Brazil_Southeast,SouthAmerica},{1,1.7464176851385111,Brazil_Southeast,Brazil_North},{1,1.7666913731430658,Brazil_Southeast,CentralAmerica},{1,1.6186966406524594,Brazil_Southeast,SouthAmerica},{1,1.409837500814697,Brazil_Southeast,Brazil_Northeast},{1,1.259900824421468,Brazil_Southeast,Caribbean},{1,1.1878100748633298,Brazil_Southeast,Brazil_North},{1,2.1311454796292457,Brazil_Southeast,Brazil_Northeast},{1,2.48886715207905,Polynesia,Brazil_Southeast},{1,4.900616426255436,SouthEastAsia,Polynesia},{1,11.813729465509608,Micronesia,SouthEastAsia}} 27
45000	28.0	{{1,0.19835147533505348,Brazil_Southeast,Brazil_North},{1,1.3020574244739989,Brazil_Southeast,Brazil_North},{1,1.0411084851921453,Brazil_Southeast,Brazil_North},{1,0.5416336781180728,Brazil_Southeast,Brazil_North},{1,1.7061634641626824,Brazil_Southeast,Brazil_Northeast},{1,1.6223322298915837,Brazil_Southeast,Brazil_Northeast},{1,1.1508805922134981,Brazil_Southeast,Brazil_Northeast},{1,0.6230330402078207,Brazil_Northeast,Brazil_Southeast},{1,0.9916407597307593,SouthAmerica,Caribbean},{1,0.3944185691919746,SouthAmerica,CentralAmerica},{1,1.1095990419223722,SouthAmerica,CentralAmerica},{1,0.9313455124544583,SouthAmerica,CentralAmerica},{1,12.788448631844187,SouthEastAsia,Brazil_Southeast},{1,12.652253319402611,Brazil_Southeast,Brazil_North},{1,10.543708067845925,Brazil_North,Micronesia},{1,1.3935779939042674,Brazil_Southeast,SouthAmerica},{1,0.8030627393635452,Caribbean,SouthAmerica},{1,0.5814230799304985,Brazil_Southeast,SouthAmerica},{1,0.6671949357067302,Brazil_Southeast,Brazil_North},{1,1.3426649687209993,Brazil_Southeast,Caribbean},{1,1.502316074812706,Brazil_Southeast,Brazil_Northeast},{1,1.5037793893234626,Brazil_Southeast,SouthAmerica},{1,1.9370327211750304,Brazil_Southeast,Brazil_Northeast},{1,1.3690125153305461,Brazil_Southeast,CentralAmerica},{1,1.6382743240893551,Brazil_Southeast,Brazil_North},{1,1.159920745285856,Brazil_Southeast,SouthAmerica},{1,2.614113940602986,Polynesia,Brazil_Southeast},{1,6.139560533762757,SouthEastAsia,Polynesia}} 28
